project_id,project_name,ministry,sector,budget_allocated_cr,budget_utilized_cr,budget_utilized_pct,start_date,planned_end_date,planned_duration_months,months_elapsed,percent_complete,reporting_delay_days,last_report_gap_days,is_delayed
PRJ-00533,National highways project 533,Road Transport & Highways,National highways,198.93,193.36,97.2,2022-10-06,2026-07-17,46,48,98.0,3,20,0
PRJ-00534,National highways project 534,Road Transport & Highways,National highways,101.86,57.45,56.4,2025-03-02,2028-12-11,46,18,54.3,3,11,0
PRJ-00535,Urban housing project 535,Housing & Urban Affairs,Urban housing,122.3,128.42,105.0,2021-01-04,2025-07-12,55,69,98.0,4,2,0
PRJ-00536,Rural roads project 536,Rural Development,Rural roads,279.72,219.58,78.5,2026-02-22,2029-01-07,35,6,73.0,1,8,1
PRJ-00537,Metro rail project 537,Railways,Metro rail,164.68,113.96,69.2,2023-01-02,2028-03-06,63,45,73.3,0,2,0
PRJ-00538,Bridges project 538,Road Transport & Highways,Bridges,33.13,29.59,89.3,2025-05-20,2026-08-13,15,16,92.7,4,21,0
PRJ-00539,Bridges project 539,Road Transport & Highways,Bridges,68.34,66.9,97.9,2021-12-29,2028-06-25,79,57,78.9,0,25,1
PRJ-00540,Transmission lines project 540,Power,Transmission lines,135.78,126.41,93.1,2024-01-26,2029-05-29,65,32,87.1,0,0,1
PRJ-00541,Coal mining infra project 541,Coal,Coal mining infra,36.93,13.07,35.4,2024-04-07,2026-11-23,32,29,46.0,1,3,1
PRJ-00542,Rural roads project 542,Rural Development,Rural roads,100.98,51.1,50.6,2024-06-06,2028-10-13,53,27,49.6,1,0,0
PRJ-00543,Solar parks project 543,New & Renewable Energy,Solar parks,298.77,111.14,37.2,2022-11-01,2024-08-22,22,47,37.8,4,4,1
PRJ-00544,State highways project 544,Road Transport & Highways,State highways,76.98,31.79,41.3,2025-04-22,2027-12-08,32,17,47.0,10,1,0
PRJ-00545,Steel plant expansion project 545,Steel,Steel plant expansion,127.11,65.97,51.9,2025-11-25,2027-09-16,22,9,52.4,9,0,0
PRJ-00546,Rural water supply project 546,Jal Shakti,Rural water supply,20.76,12.48,60.1,2023-09-11,2029-02-11,66,36,63.6,12,21,0
PRJ-00547,Airport terminals project 547,Civil Aviation,Airport terminals,34.73,25.28,72.8,2022-10-10,2028-05-11,68,47,78.1,4,4,0
PRJ-00548,Gas pipelines project 548,Petroleum & Natural Gas,Gas pipelines,32.45,24.21,74.6,2024-08-24,2027-11-07,39,25,71.8,6,0,0
PRJ-00549,Port development project 549,Shipping,Port development,23.71,2.16,9.1,2025-07-16,2030-02-20,56,14,34.0,4,67,0
PRJ-00550,Gas pipelines project 550,Petroleum & Natural Gas,Gas pipelines,111.94,37.39,33.4,2025-07-22,2029-07-01,48,14,45.1,4,7,0
PRJ-00551,Irrigation canals project 551,Agriculture,Irrigation canals,6.16,3.82,62.0,2022-05-17,2028-06-14,74,52,74.4,7,9,0
PRJ-00552,Port development project 552,Shipping,Port development,10.85,6.82,62.9,2022-06-09,2026-08-17,51,52,69.1,10,9,1
PRJ-00553,State highways project 553,Road Transport & Highways,State highways,209.19,123.63,59.1,2024-12-10,2030-01-13,62,21,44.4,6,8,0
PRJ-00554,Steel plant expansion project 554,Steel,Steel plant expansion,39.74,29.73,74.8,2025-11-14,2026-11-09,12,10,73.6,4,0,0
PRJ-00555,Transmission lines project 555,Power,Transmission lines,6.1,3.6,59.0,2024-06-27,2027-09-10,39,27,57.8,10,2,1
PRJ-00556,Metro rail project 556,Railways,Metro rail,20.93,15.26,72.9,2021-11-22,2025-07-04,44,58,98.0,7,27,0
PRJ-00557,Urban housing project 557,Housing & Urban Affairs,Urban housing,89.82,94.31,105.0,2024-05-04,2026-07-23,27,28,98.0,17,16,0
PRJ-00558,National highways project 558,Road Transport & Highways,National highways,80.45,41.99,52.2,2023-05-23,2028-11-22,67,40,59.7,1,4,0
PRJ-00559,Thermal power project 559,Power,Thermal power,1055.96,186.9,17.7,2025-06-15,2030-05-20,60,15,30.6,4,2,0
PRJ-00560,Optical fibre network project 560,Telecommunications,Optical fibre network,26.19,21.87,83.5,2022-03-26,2025-08-07,41,54,71.7,13,19,1
PRJ-00561,Port development project 561,Shipping,Port development,1332.39,1125.87,84.5,2023-01-17,2027-09-23,57,44,74.4,8,25,0
PRJ-00562,Bridges project 562,Road Transport & Highways,Bridges,46.54,26.3,56.5,2023-12-14,2025-05-07,17,33,45.0,1,13,1
PRJ-00563,Gas pipelines project 563,Petroleum & Natural Gas,Gas pipelines,184.34,1.47,0.8,2026-01-27,2031-10-28,70,7,5.0,11,45,0
PRJ-00564,Bridges project 564,Road Transport & Highways,Bridges,138.05,144.95,105.0,2021-05-06,2025-08-13,52,65,98.0,2,40,0
PRJ-00565,Solar parks project 565,New & Renewable Energy,Solar parks,18.51,9.83,53.1,2023-10-09,2028-12-11,63,35,49.6,8,8,0
PRJ-00566,Mineral exploration project 566,Mines,Mineral exploration,27.29,15.34,56.2,2023-11-02,2027-11-11,49,34,70.4,8,3,0
PRJ-00567,Rail track doubling project 567,Railways,Rail track doubling,144.8,81.23,56.1,2023-11-28,2025-01-21,14,34,53.4,19,22,1
PRJ-00568,Smart city infra project 568,Housing & Urban Affairs,Smart city infra,9.39,2.24,23.9,2025-03-20,2030-12-19,70,18,28.4,0,4,0
PRJ-00569,Rural roads project 569,Rural Development,Rural roads,93.34,29.59,31.7,2025-09-07,2031-03-10,67,12,26.2,2,1,0
PRJ-00570,Rail track doubling project 570,Railways,Rail track doubling,102.61,58.69,57.2,2024-10-24,2030-04-26,67,23,57.1,9,8,0
PRJ-00571,Solar parks project 571,New & Renewable Energy,Solar parks,41.76,18.25,43.7,2023-12-07,2030-06-03,79,33,56.3,12,16,0
PRJ-00572,Bridges project 572,Road Transport & Highways,Bridges,192.85,169.71,88.0,2023-12-17,2028-02-24,51,33,76.5,1,3,0
PRJ-00573,Smart city infra project 573,Housing & Urban Affairs,Smart city infra,61.31,32.25,52.6,2024-12-08,2029-05-16,54,21,53.4,0,5,0
PRJ-00574,Thermal power project 574,Power,Thermal power,103.6,39.47,38.1,2025-10-01,2032-01-28,77,11,20.0,6,11,0
PRJ-00575,Mineral exploration project 575,Mines,Mineral exploration,350.03,150.86,43.1,2025-07-16,2032-01-11,79,14,32.5,14,5,0
PRJ-00576,Port development project 576,Shipping,Port development,106.68,44.17,41.4,2025-02-02,2029-09-09,56,19,39.5,0,11,0
PRJ-00577,Rural roads project 577,Rural Development,Rural roads,20.26,9.72,48.0,2022-02-06,2024-07-25,30,56,34.5,22,1,1
PRJ-00578,Irrigation project 578,Jal Shakti,Irrigation,68.79,17.13,24.9,2025-08-08,2028-01-25,30,13,37.4,29,8,0
PRJ-00579,Rural water supply project 579,Jal Shakti,Rural water supply,248.75,145.02,58.3,2025-01-26,2027-11-12,34,19,59.4,5,13,0
PRJ-00580,Steel plant expansion project 580,Steel,Steel plant expansion,8.85,7.12,80.5,2025-04-27,2027-01-17,21,16,85.3,4,12,0
PRJ-00581,Thermal power project 581,Power,Thermal power,14.02,11.92,85.0,2020-11-04,2027-01-02,75,71,83.5,2,10,0
PRJ-00582,Coal mining infra project 582,Coal,Coal mining infra,66.45,39.01,58.7,2021-12-12,2028-11-05,84,58,62.8,20,0,0
PRJ-00583,Solar parks project 583,New & Renewable Energy,Solar parks,26.34,13.99,53.1,2023-08-30,2030-07-24,84,37,51.4,1,6,1
PRJ-00584,Mineral exploration project 584,Mines,Mineral exploration,69.69,73.17,105.0,2022-08-13,2026-12-20,53,49,98.0,3,1,0
PRJ-00585,Mineral exploration project 585,Mines,Mineral exploration,339.91,356.91,105.0,2024-05-28,2026-12-14,31,28,96.2,3,23,0
PRJ-00586,Coal mining infra project 586,Coal,Coal mining infra,50.59,3.04,6.0,2025-10-18,2031-09-17,72,11,22.3,35,58,0
PRJ-00587,Coal mining infra project 587,Coal,Coal mining infra,18.77,17.36,92.5,2022-08-21,2026-09-29,50,49,98.0,0,4,0
PRJ-00588,Rural water supply project 588,Jal Shakti,Rural water supply,16.73,6.09,36.4,2022-11-11,2024-06-03,19,46,49.7,2,4,1
PRJ-00589,Rural roads project 589,Rural Development,Rural roads,6.17,5.99,97.1,2023-05-02,2025-01-21,21,41,98.0,16,1,0
PRJ-00590,Urban housing project 590,Housing & Urban Affairs,Urban housing,16.89,10.12,59.9,2023-08-04,2029-04-04,69,38,57.0,3,12,0
PRJ-00591,State highways project 591,Road Transport & Highways,State highways,84.38,18.99,22.5,2025-11-10,2030-09-15,59,10,26.6,0,2,0
PRJ-00592,Urban housing project 592,Housing & Urban Affairs,Urban housing,513.28,199.15,38.8,2025-09-30,2027-08-21,23,11,47.7,21,4,0
PRJ-00593,Steel plant expansion project 593,Steel,Steel plant expansion,10.97,7.11,64.8,2022-11-06,2029-02-02,76,47,59.7,6,4,0
PRJ-00594,Refineries project 594,Petroleum & Natural Gas,Refineries,436.86,177.37,40.6,2023-08-02,2030-04-27,82,38,52.6,10,1,0
PRJ-00595,State highways project 595,Road Transport & Highways,State highways,12.89,12.48,96.8,2023-08-28,2026-08-12,36,37,98.0,0,2,0
PRJ-00596,Smart city infra project 596,Housing & Urban Affairs,Smart city infra,137.62,103.35,75.1,2022-10-14,2028-09-12,72,47,80.8,1,5,0
PRJ-00597,Port development project 597,Shipping,Port development,14.45,14.85,102.8,2025-05-02,2026-11-23,19,16,98.0,1,0,0
PRJ-00598,Coal mining infra project 598,Coal,Coal mining infra,13.14,2.65,20.2,2025-08-07,2030-02-12,55,13,31.0,8,20,0
PRJ-00599,Bridges project 599,Road Transport & Highways,Bridges,18.95,9.65,50.9,2023-05-08,2026-02-21,34,40,64.6,1,11,1
PRJ-00600,State highways project 600,Road Transport & Highways,State highways,18.53,9.01,48.6,2024-10-15,2030-05-17,68,23,50.1,13,2,0
PRJ-00601,Coal mining infra project 601,Coal,Coal mining infra,359.56,195.6,54.4,2023-03-29,2029-08-24,78,42,55.9,0,11,0
PRJ-00602,Steel plant expansion project 602,Steel,Steel plant expansion,30.4,8.33,27.4,2025-04-15,2030-01-19,58,17,30.0,0,29,0
PRJ-00603,Rural roads project 603,Rural Development,Rural roads,66.08,69.38,105.0,2021-01-12,2024-12-22,48,69,98.0,1,25,0
PRJ-00604,Refineries project 604,Petroleum & Natural Gas,Refineries,497.12,229.17,46.1,2023-11-20,2028-05-27,55,34,40.1,1,5,1
PRJ-00605,Irrigation canals project 605,Agriculture,Irrigation canals,25.5,25.6,100.4,2022-10-29,2024-04-21,18,47,98.0,24,0,0
PRJ-00606,Mineral exploration project 606,Mines,Mineral exploration,48.79,50.89,104.3,2022-07-20,2026-12-26,54,50,96.4,2,5,0
PRJ-00607,Bridges project 607,Road Transport & Highways,Bridges,61.36,34.61,56.4,2024-04-30,2026-04-20,24,28,47.9,5,17,1
PRJ-00608,Optical fibre network project 608,Telecommunications,Optical fibre network,33.0,30.49,92.4,2022-05-17,2027-05-21,61,52,98.0,4,33,0
PRJ-00609,Urban housing project 609,Housing & Urban Affairs,Urban housing,408.09,299.54,73.4,2024-10-06,2027-04-24,31,23,74.7,13,6,0
PRJ-00610,Smart city infra project 610,Housing & Urban Affairs,Smart city infra,32.44,8.82,27.2,2025-09-21,2028-03-09,30,12,22.3,11,16,1
PRJ-00611,Rural roads project 611,Rural Development,Rural roads,10.59,3.78,35.7,2024-06-09,2029-07-13,62,27,36.6,2,41,0
PRJ-00612,Metro rail project 612,Railways,Metro rail,21.13,7.02,33.2,2022-11-04,2024-08-25,22,47,24.7,18,7,1
PRJ-00613,Urban housing project 613,Housing & Urban Affairs,Urban housing,47.4,32.61,68.8,2023-01-17,2027-12-22,60,44,64.2,0,9,1
PRJ-00614,Mineral exploration project 614,Mines,Mineral exploration,123.48,129.65,105.0,2021-09-27,2026-03-05,54,60,98.0,7,12,0
PRJ-00615,Metro rail project 615,Railways,Metro rail,42.34,17.83,42.1,2022-06-03,2028-11-28,79,52,66.0,13,23,0
PRJ-00616,Bridges project 616,Road Transport & Highways,Bridges,202.24,165.23,81.7,2022-07-22,2027-12-23,66,50,78.1,0,6,0
PRJ-00617,Port development project 617,Shipping,Port development,130.31,119.75,91.9,2024-02-24,2025-04-19,14,31,98.0,6,0,0
PRJ-00618,Rural roads project 618,Rural Development,Rural roads,151.29,130.26,86.1,2024-06-12,2027-04-28,35,27,86.9,15,15,0
PRJ-00619,Transmission lines project 619,Power,Transmission lines,71.1,25.88,36.4,2024-04-06,2030-05-05,74,29,32.8,2,4,1
PRJ-00620,Transmission lines project 620,Power,Transmission lines,1686.58,998.46,59.2,2024-11-28,2027-04-17,29,21,74.2,7,42,1
PRJ-00621,Metro rail project 621,Railways,Metro rail,105.89,22.77,21.5,2025-09-29,2029-10-08,49,11,32.0,11,11,0
PRJ-00622,Rail track doubling project 622,Railways,Rail track doubling,48.22,8.53,17.7,2023-05-02,2029-12-26,81,41,16.8,6,19,1
PRJ-00623,Port development project 623,Shipping,Port development,812.8,106.48,13.1,2025-12-19,2030-06-26,55,9,5.6,4,32,0
PRJ-00624,Steel plant expansion project 624,Steel,Steel plant expansion,67.09,16.3,24.3,2025-06-11,2030-05-16,60,15,29.8,3,4,0
PRJ-00625,Metro rail project 625,Railways,Metro rail,564.75,282.94,50.1,2025-04-08,2028-02-22,35,17,45.4,5,11,1
PRJ-00626,Steel plant expansion project 626,Steel,Steel plant expansion,58.56,14.41,24.6,2021-08-23,2024-05-09,33,61,30.7,4,8,1
PRJ-00627,Coal mining infra project 627,Coal,Coal mining infra,18.53,6.97,37.6,2025-12-07,2031-03-11,64,9,43.4,0,22,1
PRJ-00628,Rural roads project 628,Rural Development,Rural roads,33.88,35.57,105.0,2022-05-21,2025-11-01,42,52,98.0,0,4,0
PRJ-00629,Coal mining infra project 629,Coal,Coal mining infra,27.6,23.46,85.0,2022-10-03,2026-09-12,48,48,77.0,3,4,1
PRJ-00630,Coal mining infra project 630,Coal,Coal mining infra,25.86,3.44,13.3,2024-11-12,2031-06-09,80,22,24.8,5,31,0
PRJ-00631,Irrigation project 631,Jal Shakti,Irrigation,64.78,21.12,32.6,2024-06-11,2030-05-11,72,27,29.6,19,5,0
PRJ-00632,Transmission lines project 632,Power,Transmission lines,85.66,48.06,56.1,2024-02-12,2029-09-13,68,31,72.4,5,0,1
PRJ-00633,Coal mining infra project 633,Coal,Coal mining infra,121.31,95.47,78.7,2021-11-12,2025-10-22,48,58,74.2,6,6,1
PRJ-00634,Refineries project 634,Petroleum & Natural Gas,Refineries,102.27,45.82,44.8,2023-05-12,2029-11-06,79,40,52.5,18,2,0
PRJ-00635,Gas pipelines project 635,Petroleum & Natural Gas,Gas pipelines,85.3,42.14,49.4,2020-10-05,2023-05-23,32,72,56.4,9,7,1
PRJ-00636,Transmission lines project 636,Power,Transmission lines,138.67,28.43,20.5,2021-09-08,2024-01-26,29,61,21.5,0,50,1
PRJ-00637,Rural water supply project 637,Jal Shakti,Rural water supply,40.25,5.23,13.0,2025-11-20,2031-11-19,73,10,32.1,1,0,0
PRJ-00638,Rural roads project 638,Rural Development,Rural roads,61.78,55.23,89.4,2023-01-26,2025-02-14,25,44,98.0,13,29,0
PRJ-00639,Port development project 639,Shipping,Port development,293.37,308.04,105.0,2021-05-28,2023-08-16,27,64,98.0,1,33,0
PRJ-00640,Urban housing project 640,Housing & Urban Affairs,Urban housing,20.39,11.38,55.8,2025-09-16,2028-05-03,32,12,47.7,9,0,0
PRJ-00641,Rural water supply project 641,Jal Shakti,Rural water supply,9.48,6.9,72.8,2023-08-29,2029-12-25,77,37,63.9,2,45,0
PRJ-00642,Metro rail project 642,Railways,Metro rail,322.4,266.62,82.7,2021-07-09,2027-01-09,67,63,93.6,4,16,0
PRJ-00643,Bridges project 643,Road Transport & Highways,Bridges,505.94,400.2,79.1,2020-11-14,2024-02-27,40,71,98.0,4,2,0
PRJ-00644,Coal mining infra project 644,Coal,Coal mining infra,14.79,15.53,105.0,2021-03-21,2025-10-26,56,66,98.0,0,6,0
PRJ-00645,National highways project 645,Road Transport & Highways,National highways,25.64,20.28,79.1,2023-11-08,2025-05-01,18,34,66.4,5,0,1
PRJ-00646,Refineries project 646,Petroleum & Natural Gas,Refineries,81.47,64.85,79.6,2023-05-13,2028-03-17,59,40,74.8,4,10,0
PRJ-00647,Irrigation project 647,Jal Shakti,Irrigation,109.48,106.31,97.1,2024-01-06,2025-10-27,22,32,98.0,4,14,0
PRJ-00648,Rural roads project 648,Rural Development,Rural roads,24.64,24.94,101.2,2024-12-02,2026-02-25,15,21,98.0,6,21,0
PRJ-00649,Smart city infra project 649,Housing & Urban Affairs,Smart city infra,28.65,6.07,21.2,2020-12-16,2022-12-06,24,70,39.6,28,23,1
PRJ-00650,Mineral exploration project 650,Mines,Mineral exploration,19.36,20.33,105.0,2024-04-19,2026-10-06,30,29,98.0,1,3,0
PRJ-00651,Metro rail project 651,Railways,Metro rail,35.54,9.52,26.8,2025-12-18,2029-11-27,48,9,23.7,22,2,0
PRJ-00652,Airport terminals project 652,Civil Aviation,Airport terminals,58.64,61.57,105.0,2022-04-11,2024-08-28,29,54,98.0,9,2,0
PRJ-00653,Airport terminals project 653,Civil Aviation,Airport terminals,35.79,12.92,36.1,2023-08-31,2024-08-25,12,37,36.7,5,18,1
PRJ-00654,Bridges project 654,Road Transport & Highways,Bridges,54.17,13.81,25.5,2026-01-27,2029-09-08,44,7,28.1,6,26,0
PRJ-00655,Transmission lines project 655,Power,Transmission lines,277.69,287.96,103.7,2021-06-30,2024-01-16,31,63,98.0,20,3,0
PRJ-00656,Optical fibre network project 656,Telecommunications,Optical fibre network,7.84,6.96,88.8,2020-11-27,2027-05-25,79,70,87.3,2,2,0
PRJ-00657,Gas pipelines project 657,Petroleum & Natural Gas,Gas pipelines,126.76,33.84,26.7,2025-07-22,2029-07-01,48,14,32.1,2,40,0
PRJ-00658,Irrigation project 658,Jal Shakti,Irrigation,54.19,53.21,98.2,2024-06-28,2026-09-16,27,27,98.0,6,3,0
PRJ-00659,State highways project 659,Road Transport & Highways,State highways,745.19,174.37,23.4,2024-11-03,2030-03-07,65,22,41.4,10,9,0
PRJ-00660,Mineral exploration project 660,Mines,Mineral exploration,14.46,14.11,97.6,2021-09-23,2027-06-24,70,60,98.0,30,3,0
PRJ-00661,Bridges project 661,Road Transport & Highways,Bridges,757.08,187.0,24.7,2025-07-22,2031-09-19,75,14,11.1,5,17,0
PRJ-00662,Steel plant expansion project 662,Steel,Steel plant expansion,39.84,23.27,58.4,2023-03-05,2024-04-28,14,43,43.3,3,18,1
PRJ-00663,Mineral exploration project 663,Mines,Mineral exploration,6.08,5.02,82.6,2023-04-16,2026-09-27,42,41,98.0,13,3,0
PRJ-00664,Metro rail project 664,Railways,Metro rail,5.0,2.74,54.9,2024-07-18,2029-12-19,66,26,52.9,27,10,0
PRJ-00665,National highways project 665,Road Transport & Highways,National highways,22.49,21.21,94.3,2022-09-24,2027-05-31,57,48,97.2,0,3,0
PRJ-00666,Irrigation project 666,Jal Shakti,Irrigation,25.14,13.35,53.1,2022-12-24,2028-04-26,65,45,59.1,18,8,0
PRJ-00667,Thermal power project 667,Power,Thermal power,15.52,5.77,37.2,2022-06-15,2024-04-05,22,51,42.4,10,5,1
PRJ-00668,Port development project 668,Shipping,Port development,58.78,45.14,76.8,2020-09-17,2025-06-23,58,73,98.0,3,10,0
PRJ-00669,Bridges project 669,Road Transport & Highways,Bridges,301.03,113.49,37.7,2020-10-31,2027-04-28,79,71,35.8,7,10,1
PRJ-00670,Optical fibre network project 670,Telecommunications,Optical fibre network,22.84,12.4,54.3,2023-05-02,2029-07-29,76,41,42.2,14,2,1
PRJ-00671,Optical fibre network project 671,Telecommunications,Optical fibre network,320.09,2.24,0.7,2026-01-24,2031-01-28,61,7,8.6,6,2,0
PRJ-00672,Airport terminals project 672,Civil Aviation,Airport terminals,569.48,121.87,21.4,2025-12-07,2030-12-11,61,9,22.1,1,37,0
PRJ-00673,Rural roads project 673,Rural Development,Rural roads,29.4,8.35,28.4,2024-10-03,2025-11-27,14,23,45.9,0,18,1
PRJ-00674,Rural roads project 674,Rural Development,Rural roads,76.11,73.29,96.3,2021-10-04,2023-05-27,20,60,98.0,3,14,0
PRJ-00675,Rural roads project 675,Rural Development,Rural roads,64.99,63.24,97.3,2024-10-29,2026-11-18,25,22,86.9,3,20,0
PRJ-00676,Solar parks project 676,New & Renewable Energy,Solar parks,36.4,38.22,105.0,2022-01-21,2026-06-29,54,56,98.0,10,29,0
PRJ-00677,Metro rail project 677,Railways,Metro rail,123.34,2.22,1.8,2025-12-06,2030-08-12,57,9,5.0,6,10,0
PRJ-00678,Optical fibre network project 678,Telecommunications,Optical fibre network,83.2,61.4,73.8,2024-04-12,2027-01-27,34,29,74.6,7,2,0
PRJ-00679,Irrigation canals project 679,Agriculture,Irrigation canals,5.0,3.38,67.5,2023-07-29,2029-07-27,73,38,60.3,2,1,0
PRJ-00680,Mineral exploration project 680,Mines,Mineral exploration,155.13,108.9,70.2,2025-02-26,2027-07-16,29,18,65.7,11,10,1
PRJ-00681,Bridges project 681,Road Transport & Highways,Bridges,30.7,10.38,33.8,2022-03-01,2027-11-30,70,55,31.6,6,6,1
PRJ-00682,State highways project 682,Road Transport & Highways,State highways,111.62,84.5,75.7,2024-07-14,2027-07-29,37,26,71.3,1,1,0
PRJ-00683,State highways project 683,Road Transport & Highways,State highways,5.0,4.99,99.8,2021-09-28,2024-10-12,37,60,98.0,0,11,0
PRJ-00684,State highways project 684,Road Transport & Highways,State highways,39.33,28.55,72.6,2024-05-29,2028-08-06,51,28,68.9,3,14,0
PRJ-00685,Port development project 685,Shipping,Port development,101.66,29.38,28.9,2023-12-12,2030-08-07,81,33,38.5,2,32,0
PRJ-00686,Airport terminals project 686,Civil Aviation,Airport terminals,179.89,188.88,105.0,2024-10-04,2026-01-27,16,23,98.0,29,1,0
PRJ-00687,Mineral exploration project 687,Mines,Mineral exploration,56.67,32.7,57.7,2025-02-08,2029-01-18,48,19,48.9,0,7,0
PRJ-00688,Rural roads project 688,Rural Development,Rural roads,58.23,61.14,105.0,2021-05-06,2022-10-28,18,65,98.0,5,8,0
PRJ-00689,Mineral exploration project 689,Mines,Mineral exploration,42.26,37.02,87.6,2024-04-26,2028-02-05,46,29,78.1,3,3,0
PRJ-00690,Rail track doubling project 690,Railways,Rail track doubling,24.78,16.75,67.6,2021-09-11,2026-07-17,59,61,65.0,8,26,1
PRJ-00691,Gas pipelines project 691,Petroleum & Natural Gas,Gas pipelines,6.58,6.91,105.0,2021-03-11,2026-05-14,63,67,98.0,0,6,0
PRJ-00692,Coal mining infra project 692,Coal,Coal mining infra,99.89,52.44,52.5,2021-02-28,2026-03-04,61,67,40.7,1,5,1
PRJ-00693,Smart city infra project 693,Housing & Urban Affairs,Smart city infra,21.29,6.41,30.1,2020-09-19,2023-08-05,35,72,35.1,11,2,1
PRJ-00694,Airport terminals project 694,Civil Aviation,Airport terminals,78.36,32.13,41.0,2022-04-19,2028-06-16,75,53,46.9,14,20,1
PRJ-00695,Rural roads project 695,Rural Development,Rural roads,14.82,15.56,105.0,2020-12-30,2027-05-28,78,69,98.0,7,16,0
PRJ-00696,Rural water supply project 696,Jal Shakti,Rural water supply,16.87,7.54,44.7,2021-09-08,2023-06-30,22,61,52.7,3,23,1
PRJ-00697,Gas pipelines project 697,Petroleum & Natural Gas,Gas pipelines,76.68,49.31,64.3,2025-09-26,2031-03-29,67,11,51.5,1,11,1
PRJ-00698,Steel plant expansion project 698,Steel,Steel plant expansion,167.23,104.18,62.3,2021-07-26,2024-06-10,35,62,57.8,14,4,1
PRJ-00699,Optical fibre network project 699,Telecommunications,Optical fibre network,10.88,2.61,24.0,2024-07-13,2028-11-19,53,26,21.1,25,14,1
PRJ-00700,Rail track doubling project 700,Railways,Rail track doubling,33.31,6.13,18.4,2025-09-24,2030-01-31,53,11,22.1,5,17,0
PRJ-00701,Irrigation canals project 701,Agriculture,Irrigation canals,209.66,97.91,46.7,2024-07-09,2028-09-16,51,26,51.3,1,13,0
PRJ-00702,Coal mining infra project 702,Coal,Coal mining infra,448.96,348.39,77.6,2022-10-19,2028-03-21,66,47,78.0,2,4,0
PRJ-00703,Thermal power project 703,Power,Thermal power,19.17,16.29,85.0,2022-04-24,2027-11-24,68,53,81.2,6,27,0
PRJ-00704,Rural roads project 704,Rural Development,Rural roads,97.64,47.75,48.9,2023-09-03,2025-01-25,17,36,44.0,19,34,1
PRJ-00705,Rural roads project 705,Rural Development,Rural roads,14.25,9.42,66.1,2022-09-24,2028-03-26,67,48,75.2,1,19,0
PRJ-00706,Rural water supply project 706,Jal Shakti,Rural water supply,15.08,8.94,59.3,2022-08-05,2024-02-26,19,50,71.9,0,9,1
PRJ-00707,Bridges project 707,Road Transport & Highways,Bridges,309.26,118.76,38.4,2022-06-01,2027-08-04,63,52,43.9,7,26,1
PRJ-00708,Rural roads project 708,Rural Development,Rural roads,324.73,255.89,78.8,2023-04-21,2025-12-06,32,41,66.8,38,46,1
PRJ-00709,National highways project 709,Road Transport & Highways,National highways,175.07,60.4,34.5,2025-05-18,2030-12-18,68,16,26.8,0,11,0
PRJ-00710,State highways project 710,Road Transport & Highways,State highways,7.11,5.69,80.0,2025-06-21,2027-02-11,20,15,81.1,2,16,0
PRJ-00711,Irrigation project 711,Jal Shakti,Irrigation,58.52,61.45,105.0,2021-10-24,2026-07-30,58,59,98.0,2,3,0
PRJ-00712,Rural roads project 712,Rural Development,Rural roads,439.14,160.29,36.5,2024-01-12,2030-12-06,84,32,48.7,1,6,0
PRJ-00713,State highways project 713,Road Transport & Highways,State highways,20.8,19.2,92.3,2022-10-14,2025-05-01,31,47,98.0,0,88,0
PRJ-00714,Irrigation canals project 714,Agriculture,Irrigation canals,27.32,20.87,76.4,2023-08-28,2028-07-02,59,37,67.8,8,19,0
PRJ-00715,Rural roads project 715,Rural Development,Rural roads,30.71,29.42,95.8,2023-09-09,2025-05-31,21,36,98.0,2,5,0
PRJ-00716,Solar parks project 716,New & Renewable Energy,Solar parks,69.17,13.56,19.6,2025-05-29,2031-11-24,79,15,21.3,4,0,0
PRJ-00717,Rural roads project 717,Rural Development,Rural roads,87.56,69.08,78.9,2023-12-12,2028-03-20,52,33,67.0,21,14,0
PRJ-00718,Mineral exploration project 718,Mines,Mineral exploration,24.52,13.61,55.5,2024-08-13,2028-02-24,43,25,61.6,3,9,0
PRJ-00719,Rail track doubling project 719,Railways,Rail track doubling,65.99,29.23,44.3,2026-01-12,2028-11-27,35,8,31.2,13,26,0
PRJ-00720,Airport terminals project 720,Civil Aviation,Airport terminals,631.98,376.66,59.6,2023-04-11,2028-04-14,61,41,66.3,7,15,0
PRJ-00721,Optical fibre network project 721,Telecommunications,Optical fibre network,72.83,30.95,42.5,2025-07-08,2029-03-19,45,14,47.6,1,1,0
PRJ-00722,Rural water supply project 722,Jal Shakti,Rural water supply,14.55,10.51,72.2,2022-03-26,2027-11-25,69,54,78.1,5,7,1
PRJ-00723,Transmission lines project 723,Power,Transmission lines,21.04,19.08,90.7,2022-09-30,2026-09-09,48,48,98.0,13,11,0
PRJ-00724,Airport terminals project 724,Civil Aviation,Airport terminals,44.74,41.97,93.8,2025-01-21,2027-04-11,27,20,74.3,2,8,0
PRJ-00725,Metro rail project 725,Railways,Metro rail,131.66,91.77,69.7,2021-05-25,2023-02-14,21,64,98.0,3,10,0
PRJ-00726,Coal mining infra project 726,Coal,Coal mining infra,647.52,106.84,16.5,2025-03-18,2030-10-18,68,18,30.2,7,3,0
PRJ-00727,Bridges project 727,Road Transport & Highways,Bridges,48.27,50.68,105.0,2021-08-20,2025-11-27,52,61,98.0,24,1,0
